Outcome,TauB,Parameter set,R_init,Mean-field assumption,Compliance,  Scenario,Scenario.lab,value.lo,value,value.hi,Test,Test,Test,,,
Net Reproduction Number,small,LSHTM,0.8,Household,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,0.8,0.8,0.8,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,small,LSHTM,0.8,Household,Compliance,  C2,C2: unclustered contacts,0.8279351141,0.8741422639,1.0384207426,0.0194132523,0.0115377066,0.0111253945,TRUE,TRUE,TRUE
Net Reproduction Number,small,LSHTM,0.8,Household,Compliance,C3,C3: Increased community transmission,0.8272327835,0.8758148032,1.0176006799,0.021080939,0.0152711317,0.0127689403,TRUE,TRUE,TRUE
Net Reproduction Number,small,LSHTM,0.8,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,0.8094655119,0.8161708659,0.8545852904,0.0197413019,0.0208782509,0.016972665,TRUE,TRUE,TRUE
Net Reproduction Number,small,LSHTM,0.8,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,0.811370846,0.8257557327,0.8869524659,0.0164454206,0.0166072713,0.0150563376,TRUE,TRUE,TRUE
Net Reproduction Number,small,LSHTM,0.8,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,0.804382651,0.8128254264,0.8256319691,0.0224219841,0.0268644707,0.0150605348,TRUE,TRUE,TRUE
Net Reproduction Number,small,LSHTM,0.8,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,0.8268655083,0.8489584216,0.9192151162,0.0169487959,0.0232396855,0.0158256387,TRUE,TRUE,TRUE
Net Reproduction Number,small,LSHTM,0.8,Household,Compliance,5,8: Scenarios 1 and 3\ncombined,0.8070084865,0.8220738045,0.8702534042,0.0268049219,0.0170712393,0.0099108696,TRUE,TRUE,TRUE
Net Reproduction Number,small,LSHTM,0.8,Household,Compliance,6,9: All households\npair up randomly,0.8282863926,0.8825237774,1.0048714057,0.0214735083,0.0164089835,0.0123966752,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Household,Compliance,  C1,C1: Comparator 1\nstatus quo:\nno social bubbles,0.8,0.8,0.8,0,0,0,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Household,Compliance,  C2,C2: unclustered contacts,0.9286316713,1.1409070933,1.6563963354,0.0120011711,0.0119829684,0.0150529973,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Household,Compliance,C3,C3: Increased community transmission,0.9463094902,1.1566790408,1.8151615407,0.0145756232,0.0073692376,0.0411865731,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Household,Compliance,1,1: Households with\nprimary school age\nchildren pair up,0.8247398228,0.8538783268,0.9545037857,0.0191929006,0.0177460406,0.0115688121,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Household,Compliance,2,3: Households with\nchildren of any age\n pair up,0.8240805081,0.8998969651,1.0345461882,0.0237341735,0.0173778392,0.0114341723,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Household,Compliance,3,4: Single occupancy\nhouseholds pair up,0.8436935475,0.8467763376,0.8790162448,0.0265621188,0.0125563996,0.0091708767,TRUE,TRUE,TRUE
Net Reproduction Number,half,LSHTM,0.8,Household,Compliance,4,5: Single occupancy\nhouseholds pair up\nwith random household,0.895556804,1.0018019876,1.1106298446,0.0164901161,0.0099541037,0.0084295156,TRUE,TRUE,TRUE
